RowID,stratum,lcode,sdate,utm_e,utm_n,snag
213039,BWC-S,F14A.RS,8/8/2005,540345,4936445,0
213057,SCB,D6.RS,8/24/2005,735875,4654585,0
213058,SCB,D13.RS,9/14/2006,581595,4913645,1
213114,IMP-S,F11.RS,9/22/1997,736625,4651085,0
213135,BWC-S,F6.RS,9/28/1993,732875,4668835,0
213181,IMP-S,F13.RS,8/23/1995,643420,4838000,0
213212,BWC-S,F1.RS,7/17/2017,715975,4679136,0
213213,IMP-S,F16.RS,7/25/2017,643470,4832550,0
213223,IMP-S,F11.RS,6/17/2014,735875,4651135,1
213225,BWC-S,F6.RS,9/24/2009,738325,4659235,0
213316,BWC-S,M757.7S,8/5/1992,580485,4914796,0
213334,IMP-S,F16.RS,6/27/1994,641270,4827800,1
213422,BWC-S,F4.RS,7/6/2009,731975,4667685,0
213423,TWZ,M796.9M,7/17/2012,531164,4939769,0
213467,BWC-S,F40A.RS,7/10/2017,734225,4668235,1
213479,BWC-S,F8.RS,7/30/2001,726825,4671035,0
213683,IMP-S,F13.RS,9/10/2001,643320,4836950,0
213794,IMP-O,M525.5C,11/13/1991,733769,4645596,NA
213925,MCB-W,M551.9C,8/25/2005,717798,4675927,0
213976,BWC-S,F82A.RS,9/27/2001,728525,4670385,0
214027,BWC-S,D18.RS,8/21/2000,581145,4910895,0
214028,MCB-W,M551.8C,8/1/1996,718294,4676082,0
214115,MCB-U,M526.0F,9/24/1990,735682,4647314,NA
214125,BWC-S,D19.RS,8/17/1995,638920,4838100,0
214126,SCB,D9.RS,7/2/1997,643420,4846650,1
214194,BWC-S,D18.RS,6/25/1993,640420,4835750,1
214227,SCB,D23.RS,8/2/2001,637320,4856700,1
214253,MCB-U,D3.RS,9/22/2009,736425,4653885,1
214309,IMP-S,H3A.RS,9/8/2004,643470,4829800,0
214369,BWC-S,M692.7R,6/27/1990,642904,4844961,NA
214394,BWC-S,F29A.RS,9/8/2014,727375,4669985,1
214448,BWC-S,M753.5V,6/17/1991,584685,4908850,NA
214486,BWC-S,F5.RS,9/27/2017,580595,4913745,NA
214487,IMP-S,F14.RS,8/11/2008,643320,4835700,0
214503,MCB-W,M796.7M,7/18/1990,531610,4939625,NA
214528,BWC-S,F4.RS,10/9/2002,641120,4839400,0
214537,BWC-S,F31A.RS,8/19/2015,579545,4916445,0
214556,BWC-S,F4.RS,8/26/2008,641220,4842300,0
214581,IMP-S,F11.RS,6/29/1993,642920,4834350,0
214582,BWC-S,F4.RS,8/2/1994,723925,4674135,1
214585,TWZ,M796.9N,8/4/2015,531031,4939825,1
214626,BWC-S,F10.RS,7/8/2002,639920,4838650,0
214627,IMP-S,F12.RS,6/16/2004,733625,4647835,1
214691,IMP-S,F13.RS,9/29/2010,641270,4835250,1
214788,BWC-S,F9.RS,8/23/2012,737175,4660435,0
214789,IMP-S,F14.RS,9/4/2002,641120,4835050,0
214790,IMP-S,F11.RS,9/21/2015,733525,4646935,1
214822,BWC-S,F1.RS,7/19/2016,719325,4676736,0
214835,BWC-S,F2.RS,8/26/2008,641520,4845900,0
214853,BWC-S,F2.RS,10/8/2007,573945,4916445,1
214865,BWC-S,F7.RS,8/29/2007,641920,4844650,0
214911,BWC-S,F7.RS,7/26/1999,643120,4842150,0
214933,TWZ,M796.9N,7/31/2000,531001,4939807,1
214955,BWC-S,F5.RS,9/20/2000,579545,4917495,0
214956,BWC-S,M692.7R,7/5/1995,642904,4844961,1
215002,BWC-S,F5.RS,8/22/1994,583995,4911245,1
215008,IMP-S,F14.RS,8/24/2009,642270,4827050,0
215013,BWC-S,F7.RS,10/18/2005,643570,4841550,0
215017,TWZ,M702.2C,10/29/1990,636418,4858054,NA
215023,IMP-S,F14.RS,9/20/1993,736175,4642235,0
215024,MCB-W,M759.0W,7/16/1996,578950,4914200,1
215026,TWZ,M796.9N,7/15/2013,531031,4939824,1
215060,BWC-S,F22A.RS,7/13/1993,639870,4836000,1
215148,MCB-U,D22.RS,8/30/2004,580595,4912995,1
215182,MCB-U,D20.RS,8/24/2000,640170,4849750,1
215223,MCB-U,D2.RS,6/22/1998,715975,4677085,1
215294,BWC-S,M692.7R,9/3/1998,642904,4844961,0
215313,BWC-S,F38A.RS,8/14/1995,644120,4841750,1
215348,SCB,D6.RS,7/10/2014,640920,4849600,1
215386,BWC-S,D18.RS,8/29/2016,643070,4840550,0
215428,BWC-S,D21.RS,9/13/2017,579995,4915845,0
215463,BWC-S,D18.RS,6/22/2011,641820,4840600,0
215474,BWC-S,D6.RS,10/6/2006,733925,4660335,1
